chunk_size,chunk_overlap,top_k,avg_recall_at_1,avg_recall_at_3,avg_recall_at_5,avg_mrr,avg_latency
100,0,5,0.969,1.0,1.0,0.984,0.329
100,20,5,0.969,1.0,1.0,0.984,0.318
100,30,5,0.969,1.0,1.0,0.984,0.31
100,50,5,0.969,1.0,1.0,0.984,0.317
150,0,5,0.969,1.0,1.0,0.984,0.314
150,20,5,0.969,1.0,1.0,0.984,0.331
150,30,5,0.969,1.0,1.0,0.984,0.325
150,50,5,0.969,1.0,1.0,0.984,0.321
200,0,5,1.0,1.0,1.0,1.0,0.326
200,20,5,1.0,1.0,1.0,1.0,0.329
200,30,5,1.0,1.0,1.0,1.0,0.311
200,50,5,1.0,1.0,1.0,1.0,0.312
250,0,5,0.969,1.0,1.0,0.984,0.316
250,20,5,0.969,1.0,1.0,0.984,0.31
250,30,5,0.969,1.0,1.0,0.984,0.318
250,50,5,0.969,1.0,1.0,0.984,0.312
300,0,5,0.938,1.0,1.0,0.969,0.307
300,20,5,0.938,1.0,1.0,0.969,0.317
300,30,5,0.938,1.0,1.0,0.969,0.321
300,50,5,1.0,1.0,1.0,1.0,0.319
